DEBUG 2024-03-05 18:46:42,609 autoreload File C:\Users\bilim\Documents\backend\django\solution\env\Lib\site-packages\django\utils\safestring.py first seen with mtime 1709412430.8719652
DEBUG 2024-03-05 18:46:42,609 autoreload File C:\Users\bilim\Documents\backend\django\solution\env\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1709412428.7635612
DEBUG 2024-03-05 18:46:42,609 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.752.0_x64__qbz5n2kfra8p0\DLLs\unicodedata.pyd first seen with mtime 1708915345.7049985
DEBUG 2024-03-05 18:46:42,609 autoreload File C:\Users\bilim\Documents\backend\django\solution\env\Lib\site-packages\django\db\models\fields\generated.py first seen with mtime 1709412430.6791775
DEBUG 2024-03-05 18:46:42,609 autoreload File C:\Users\bilim\Documents\backend\django\solution\env\Lib\site-packages\psycopg\types\multirange.py first seen with mtime 1709659879.8295693
DEBUG 2024-03-05 18:46:42,609 autoreload File C:\Users\bilim\Documents\backend\django\solution\env\Lib\site-packages\urllib3\_version.py first seen with mtime 1709412620.433668
DEBUG 2024-03-05 18:46:42,610 autoreload File C:\Users\bilim\Documents\backend\django\solution\env\Lib\site-packages\psycopg\_encodings.py first seen with mtime 1709659879.7875314
DEBUG 2024-03-05 18:46:42,610 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.752.0_x64__qbz5n2kfra8p0\Lib\inspect.py first seen with mtime 1708915347.6941612
DEBUG 2024-03-05 18:46:42,610 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.752.0_x64__qbz5n2kfra8p0\DLLs\_overlapped.pyd first seen with mtime 1708915345.773332
DEBUG 2024-03-05 18:46:42,610 autoreload File C:\Users\bilim\Documents\backend\django\solution\env\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1709412430.5629694
DEBUG 2024-03-05 18:46:42,610 autoreload File C:\Users\bilim\Documents\backend\django\solution\env\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1709412428.5295131
DEBUG 2024-03-05 18:46:42,610 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.752.0_x64__qbz5n2kfra8p0\Lib\zoneinfo\_tzpath.py first seen with mtime 1708915351.7878466
DEBUG 2024-03-05 18:46:42,610 autoreload File C:\Users\bilim\Documents\backend\django\solution\env\Lib\site-packages\appconf\__init__.py first seen with mtime 1709412439.821226
DEBUG 2024-03-05 18:46:42,610 autoreload File C:\Users\bilim\Documents\backend\django\solution\env\Lib\site-packages\django\db\backends\postgresql\creation.py first seen with mtime 1709412430.6342986
DEBUG 2024-03-05 18:46:42,610 autoreload File C:\Users\bilim\Documents\backend\django\solution\env\Lib\site-packages\django\contrib\admin\templatetags\admin_modify.py first seen with mtime 1709412428.2929993
DEBUG 2024-03-05 18:46:42,611 autoreload File C:\Users\bilim\Documents\backend\django\solution\env\Lib\site-packages\urllib3\_request_methods.py first seen with mtime 1709412620.433668
